desired photons,FOM,avg detected
1000,202.11280779008652,511.5098836544348
2000,285.8306739060469,1023.0197673088696
3000,350.0696519528327,1534.5296509633047
4000,404.22561558017304,2046.0395346177393
5000,451.93797734198256,2557.5494182721745
6000,495.07324956692514,3069.0593019266094
7000,534.7402261935671,3580.569185581045
8000,571.6613478120938,4092.0790692354785
9000,606.3384233702595,4603.588952889913
10000,639.1368169084963,5115.098836544349
11000,670.3323487649371,5626.608720198784
12000,700.1393039056654,6138.118603853219
13000,728.7280919151547,6649.628487507654
14000,756.2368802293992,7161.13837116209
15000,782.779538626226,7672.648254816523
16000,808.4512311603461,8184.158138470957
17000,833.3324548086866,8695.668022125392
18000,857.4920217181408,9207.177905779827
19000,880.9893043522477,9718.687789434262
20000,903.8759546839651,10230.197673088698
21000,926.1972406181324,10741.707556743133
22000,947.9930989207857,11253.217440397568
23000,969.2989748649414,11764.727324052
24000,990.1464991338503,12276.237207706437
25000,1010.564038950433,12787.747091360872
26000,1030.5771508686792,13299.256975015309
27000,1050.208955858498,13810.766858669744
28000,1069.4804523871342,14322.27674232418
29000,1088.4107795823143,14833.786625978613
30000,1107.0174398733627,15345.296509633046
31000,1125.3164884851578,15856.80639328748
32000,1143.3226956241876,16368.316276941914
33000,1161.0496860178514,16879.826160596345
34000,1178.5100595561091,17391.336044250784
35000,1195.7154960724297,17902.84592790522
36000,1212.676846740519,18414.355811559653
37000,1229.4042141189047,18925.865695214092
38000,1245.9070225205871,19437.375578868523
39000,1262.1940800997706,19948.88546252296
40000,1278.2736338169925,20460.395346177396
41000,1294.15341825631,20971.90522983183
42000,1309.8406991146996,21483.415113486266
43000,1325.3423120575594,21994.9249971407
44000,1340.6646975298743,22506.434880795136
45000,1355.8139320259481,23017.944764449567
46000,1370.795756248338,23529.454648104
47000,1385.6156005260787,24040.964531758436
48000,1400.2786078113309,24552.474415412875
49000,1414.789654530606,25063.98429906731
50000,1429.153369530235,25575.494182721744
51000,1443.3741513247408,26087.00406637618
52000,1457.4561838303093,26598.513950030618
53000,1471.4034507428617,27110.023833685053
54000,1485.219748700775,27621.533717339487
55000,1498.9086993554968,28133.04360099392
56000,1512.4737604587983,28644.55348464836
57000,1525.9182360628538,29156.063368302785
58000,1539.2452859183823,29667.573251957227
59000,1552.457934146609,30179.08313561166
60000,1565.559077252452,30690.593019266093
61000,1578.5514915391077,31202.102902920524
62000,1591.437839977777,31713.61278657496
63000,1604.2206785807016,32225.122670229393
64000,1616.9024623206922,32736.63255388383
65000,1629.4855506360007,33248.14243753827
66000,1641.972212555469,33759.65232119269
67000,1654.3646314755088,34271.16220484714
68000,1666.6649096173733,34782.67208850157
69000,1678.8750721905074,35294.181972156
70000,1690.9970712853033,35805.69185581044
71000,1703.0327895164748,36317.20173946488
72000,1714.9840434362816,36828.71162311931
73000,1726.8525867351416,37340.22150677375
74000,1738.6401132455917,37851.731390428184
75000,1750.3482597641635,38363.24127408262
76000,1761.9786087044954,38874.751157737046
77000,1773.5326905938387,39386.261041391495
78000,1785.0119864241285,39897.77092504592
79000,1796.4179298678257,40409.28080870035
80000,1807.7519093679302,40920.79069235479
81000,1819.0152701107793,41432.30057600923
82000,1830.2093158895743,41943.81045966366
83000,1841.3353108659421,42455.3203433181
84000,1852.3944812362647,42966.83022697253
85000,1863.388016808995,43478.34011062697
86000,1874.317072498715,43989.8499942814
87000,1885.1827697422189,44501.359877935836
88000,1895.9861978415713,45012.86976159027
89000,1906.7284152386603,45524.37964524471
90000,1917.4104507254892,46035.88952889913
91000,1928.033304594118,46547.39941255359
92000,1938.5979497298829,47058.909296208
93000,1949.1053326512908,47570.41917986244
94000,1959.5563744997212,48081.92906351687
95000,1969.951971981877,48593.43894717133
96000,1980.2929982677006,49104.94883082575
97000,1990.5803038463107,49616.458714480184
98000,2000.8147173423288,50127.96859813462
99000,2010.9970462948108,50639.47848178905
