desired photons,FOM,avg detected
1000,449.57100156120526,1125.7583614318305
2000,635.7894076575122,2251.516722863661
3000,778.6798163136343,3377.275084295491
4000,899.1420031224105,4503.033445727322
5000,1005.2713202035189,5628.791807159153
6000,1101.2195569769322,6754.550168590982
7000,1189.4530667971799,7880.308530022813
8000,1271.5788153150245,9006.066891454644
9000,1348.7130046836153,10131.825252886472
10000,1421.6683348965228,11257.583614318306
11000,1491.0583288027992,12383.341975750136
12000,1557.3596326272686,13509.100337181964
13000,1620.9512980906266,14634.858698613794
14000,1682.1406588708426,15760.617060045626
15000,1741.181001984336,16886.375421477456
16000,1798.284006244821,18012.133782909288
17000,1853.6287256515711,19137.892144341113
18000,1907.3682229725366,20263.650505772945
19000,1959.6345637516597,21389.408867204776
20000,2010.5426404070379,22515.167228636612
21000,2060.1931449113326,23640.92559006844
22000,2108.6749108822805,24766.683951500272
23000,2156.0667812544993,25892.442312932093
24000,2202.4391139538643,27018.20067436393
25000,2247.8550078060257,28143.95903579576
26000,2292.3713097060377,29269.71739722759
27000,2336.039448940903,30395.47575865941
28000,2378.9061335943597,31521.234120091252
29000,2421.0139359156133,32646.99248152308
30000,2462.401787552623,33772.75084295491
31000,2503.105401054279,34898.50920438674
32000,2543.157630630049,36024.267565818576
33000,2582.588782535189,37150.0259272504
34000,2621.4268834208087,38275.784288682225
35000,2659.6979134040917,39401.54265011406
36000,2697.4260093672306,40527.30101154589
37000,2734.633643005141,41653.059372977725
38000,2771.3417773526803,42778.81773440955
39000,2807.5700048876893,43904.57609584138
40000,2843.3366697930455,45030.334457273224
41000,2878.658976543514,46156.092818705045
42000,2913.553086641686,47281.85118013688
43000,2948.0342050464815,48407.60954156871
44000,2982.1166576055984,49533.367903000544
45000,3015.8139606105565,50659.12626443236
46000,3049.1388834322183,51784.884625864186
47000,3082.103505059981,52910.64298729603
48000,3114.7192652545373,54036.40134872786
49000,3146.997010928436,55162.15971015969
50000,3178.9470382875606,56287.91807159152
51000,3210.5791311976727,57413.67643302336
52000,3241.902596181253,58539.43479445518
53000,3272.9262943994777,59665.193155887006
54000,3303.6586709307967,60790.95151731882
55000,3334.1077816202924,61916.70987875067
56000,3364.281317741685,63042.468240182505
57000,3394.1866286859477,64168.226601614326
58000,3423.8307428661274,65293.98496304616
59000,3453.220387006883,66419.74332447798
60000,3482.362003968672,67545.50168590983
61000,3511.2617692404333,68671.26004734165
62000,3539.9256062203067,69797.01840877348
63000,3568.359200391539,70922.77677020531
64000,3596.568012489642,72048.53513163715
65000,3624.557290747166,73174.29349306897
66000,3652.332082293884,74300.0518545008
67000,3679.8972437824837,75425.81021593264
68000,3707.2574513031423,76551.56857736445
69000,3734.4172096442862,77677.3269387963
70000,3761.380860951489,78803.08530022812
71000,3788.152592831617,79928.84366165995
72000,3814.7364459450732,81054.60202309178
73000,3841.1363211250914,82180.36038452362
74000,3867.3559860596156,83306.11874595545
75000,3893.3990815681714,84431.87710738728
76000,3919.2691275033194,85557.6354688191
77000,3944.969528303784,86683.39383025095
78000,3970.5035782240675,87809.15219168276
79000,3995.8744662632816,88934.91055311462
80000,4021.0852808140758,90060.66891454645
81000,4046.1390140508474,91186.42727597828
82000,4071.038566074891,92312.18563741009
83000,4095.786748832738,93437.94399884192
84000,4120.386289822665,94563.70236027376
85000,4144.839835603221,95689.46072170559
86000,4169.149955116521,96815.21908313742
87000,4193.319142838144,97940.97744456925
88000,4217.349821764561,99066.73580600109
89000,4241.2443462482,100192.49416743292
90000,4265.005004689568,101318.25252886472
91000,4288.634022095125,102444.01089029657
92000,4312.133562508999,103569.76925172837
93000,4335.50573132608,104695.52761316024
94000,4358.752577493478,105821.28597459206
95000,4381.876095606857,106947.04433602387
96000,4404.878227907729,108072.80269745571
97000,4427.7608661873655,109198.56105888756
98000,4450.525853602586,110324.31942031939
99000,4473.174986408398,111450.0777817512
