desired photons,FOM,avg detected
1000,451.8807960404369,1518.5125687746308
2000,639.0559503363362,3037.0251375492617
3000,782.680497706706,4555.537706323893
4000,903.7615920808738,6074.050275098523
5000,1010.4361776731348,7592.562843873153
6000,1106.8773748617475,9111.075412647786
7000,1195.5642085688967,10629.587981422415
8000,1278.1119006726724,12148.100550197047
9000,1355.6423881213104,13666.613118971676
10000,1428.9725463777777,15185.125687746306
11000,1498.7190504332452,16703.638256520942
12000,1565.360995413412,18222.150825295572
13000,1629.2793805212805,19740.6633940702
14000,1690.7831184459894,21259.17596284483
15000,1750.126797535563,22777.688531619464
16000,1807.5231841617476,24296.201100394093
17000,1863.152252262912,25814.713669168726
18000,1917.1678510090082,27333.226237943352
19000,1969.702724466979,28851.738806717985
20000,2020.8723553462696,30370.25137549261
21000,2070.777952952204,31888.763944267248
22000,2119.508807309622,33407.276513041885
23000,2167.144166430373,34925.78908181652
24000,2213.754749723495,36444.301650591144
25000,2259.403980202185,37962.81421936578
26000,2304.1489968280293,39481.3267881404
27000,2348.041493120117,40999.839356915036
28000,2391.1284171377933,42518.35192568966
29000,2433.4525598568853,44036.864494464295
30000,2475.053052947385,45555.37706323893
31000,2515.9657924412063,47073.88963201356
32000,2556.223801345345,48592.40220078819
33000,2595.857541621763,50110.91476956283
34000,2634.8951839161887,51629.42733833745
35000,2673.3628418257904,53147.939907112086
36000,2711.284776242621,54666.452475886705
37000,2748.6835743161023,56184.96504466134
38000,2785.5803067844377,57703.47761343597
39000,2821.994666787203,59221.9901822106
40000,2857.9450927555554,60740.50275098522
41000,2893.4488775569703,62259.01531975986
42000,2928.5222657282015,63777.527888534496
43000,2963.180540347816,65296.040457309115
44000,2997.4381008664905,66814.55302608377
45000,3031.3085330194044,68333.0655948584
46000,3064.804671783569,69851.57816363304
47000,3097.9386582075076,71370.09073240767
48000,3130.721990826824,72888.60330118229
49000,3163.165572283058,74407.1158699569
50000,3195.2797516816813,75925.62843873155
51000,3227.07436315575,77444.14100750619
52000,3258.558761042561,78962.6535762808
53000,3289.7418520299384,80481.16614505544
54000,3320.6321245852423,81999.67871383007
55000,3351.2376759426716,83518.19128260469
56000,3381.566236891979,85036.70385137932
57000,3411.625194583649,86555.21642015396
58000,3441.421613541133,88073.72898892859
59000,3470.9622550494837,89592.24155770322
60000,3500.253595071126,91110.75412647786
61000,3529.301840823264,92629.26669525249
62000,3558.1129461371256,94147.77926402712
63000,3586.692625706691,95666.29183280175
64000,3615.0463683234952,97184.80440157637
65000,3643.1794491843284,98703.316970351
66000,3671.0969413499784,100221.82953912565
67000,3698.8037264255195,101740.34210790027
68000,3726.304504525824,103258.8546766749
69000,3753.6038035839097,104777.36724544951
70000,3780.7059880543115,106295.87981422417
71000,3807.61526705888,107814.39238299878
72000,3834.3357020180165,109332.90495177341
73000,3860.871213806559,110851.41752054804
74000,3887.2255894699865,112369.93008932268
75000,3913.40248853353,113888.44265809731
76000,3939.405448933958,115406.95522687194
77000,3965.237892601237,116925.46779564657
78000,3990.9031307150062,118443.9803644212
79000,4016.404368658735,119962.49293319583
80000,4041.7447106925392,121481.00550197045
81000,4066.927164363932,122999.51807074509
82000,4091.954644674277,124518.03063951973
83000,4116.829978017252,126036.54320829436
84000,4141.555905904408,127555.05577706899
85000,4166.135088491708,129073.56834584363
86000,4190.570107919917,130592.08091461823
87000,4214.863471480669,132110.59348339288
88000,4239.017614619244,133629.10605216754
89000,4263.034903784201,135147.61862094217
90000,4286.917639133333,136666.1311897168
91000,4310.66805710468,138184.64375849144
92000,4334.288332860746,139703.15632726607
93000,4357.780582613462,141221.6688960407
94000,4381.146865836966,142740.18146481534
95000,4404.389187374703,144258.69403358994
96000,4427.50949944699,145777.20660236457
97000,4450.509703564691,147295.7191711392
98000,4473.391652354353,148814.2317399138
99000,4496.157151299735,150332.74430868847
