desired photons,FOM,avg detected
1000,388.9664508817078,844.2191861391038
2000,550.0816301450394,1688.4383722782077
3000,673.7096553668619,2532.657558417312
4000,777.9329017634155,3376.8767445564154
5000,869.7554251383314,4221.095930695518
6000,952.76933172152,5065.315116834624
7000,1029.108497380419,5909.534302973728
8000,1100.1632602900788,6753.753489112831
9000,1166.8993526451234,7597.9726752519355
10000,1230.0199181782054,8442.191861391037
11000,1290.0557736108278,9286.411047530142
12000,1347.4193107337237,10130.630233669248
13000,1402.4384830892423,10974.84941980835
14000,1455.3791941487855,11819.068605947456
15000,1506.4605864982593,12663.287792086558
16000,1555.865803526831,13507.506978225661
17000,1603.7497618069049,14351.726164364763
18000,1650.2448904351184,15195.945350503871
19000,1695.4654518210414,16040.164536642973
20000,1739.5108502766627,16884.383722782073
21000,1782.4682039637487,17728.60290892118
22000,1824.4143712581479,18572.822095060284
23000,1865.4175666495626,19417.04128119939
24000,1905.53866344304,20261.260467338496
25000,1944.832254408539,21105.4796534776
26000,1983.3475231787575,21949.6988396167
27000,2021.1289661005858,22793.918025755807
28000,2058.216994760838,23638.13721189491
29000,2094.648442444184,24482.35639803401
30000,2130.4569926063655,25326.575584173115
31000,2165.6735435556466,26170.79477031222
32000,2200.3265205801576,27015.013956451323
33000,2234.4421444915274,27859.233142590434
34000,2268.0446637999453,28703.452328729527
35000,2301.1565563652807,29547.67151486863
36000,2333.7987052902467,30391.890701007742
37000,2365.9905529663347,31236.10988714684
38000,2397.7502365003443,32080.329073285946
39000,2429.0947072003937,32924.54825942505
40000,2460.039836356411,33768.767445564146
41000,2490.6005091888965,34612.98663170326
42000,2520.7907085443453,35457.20581784236
43000,2550.623589672732,36301.42500398147
44000,2580.1115472216557,37145.64419012057
45000,2609.2662754149947,37989.86337625967
46000,2638.098822244828,38834.08256239878
47000,2666.6196383888464,39678.30174853788
48000,2694.8386214674474,40522.52093467699
49000,2722.7651561719545,41366.74012081609
50000,2750.408150725197,42210.9593069552
51000,2777.7760700760437,43055.178493094296
52000,2804.8769661784845,43899.3976792334
53000,2831.718505662266,44743.61686537251
54000,2858.30799516456,45587.836051511615
55000,2884.6524045598903,46432.055237650704
56000,2910.758388297571,47276.27442378982
57000,2936.6323050317665,48120.493609928926
58000,2962.2802357082446,48964.71279606802
59000,2987.708000253573,49808.931982207134
60000,3012.9211729965186,50653.15116834623
61000,3037.9250969374193,51497.370354485334
62000,3062.724896968995,52341.58954062444
63000,3087.325492141257,53185.80872676354
64000,3111.731607053662,54030.027912902646
65000,3135.9477824492346,54874.24709904174
66000,3159.978385077941,55718.46628518087
67000,3183.8276168899756,56562.685471319965
68000,3207.4995236138097,57406.904657459054
69000,3230.998002768545,58251.12384359816
70000,3254.3268111555476,59095.34302973726
71000,3277.489571870115,59939.56221587637
72000,3300.4897808702367,60783.781402015484
73000,3323.330813136179,61628.000588154566
74000,3346.0159284516094,62472.21977429368
75000,3368.54827683431,63316.43896043277
76000,3390.9309036420827,64160.65814657189
77000,3413.1667543772933,65004.877332710996
78000,3435.258679211499,65849.0965188501
79000,3457.2094372498536,66693.3157049892
80000,3479.0217005533254,67537.53489112829
81000,3500.69805793537,68381.75407726741
82000,3522.241018548274,69225.97326340651
83000,3543.6530152732917,70070.19244954562
84000,3564.9364079274974,70914.41163568472
85000,3586.0934862993345,71758.63082182381
86000,3607.126473023926,72602.85000796294
87000,3628.0375263083406,73447.06919410203
88000,3648.8287425162957,74291.28838024114
89000,3669.5021586210532,75135.50756638024
90000,3690.059754534617,75979.72675251935
91000,3710.5034553207993,76823.94593865845
92000,3730.835133299125,77668.16512479755
93000,3751.0566100461097,78512.38431093664
94000,3771.169658299945,79356.60349707576
95000,3791.176003774243,80200.82268321486
96000,3811.07732688608,81045.04186935398
97000,3830.8752644032484,81889.26105549306
98000,3850.5714110152753,82733.48024163218
99000,3870.1673208324837,83577.69942777127
