wavelength,mCherry ex,mCherry em,mCherry 2p
300,0.132,,
301,0.1175,,
302,0.1063,,
303,0.1037,,
304,0.1302,,
305,0.1633,,
306,0.1609,,
307,0.1095,,
308,0.0673,,
309,0.0573,,
310,0.055,,
311,0.0545,,
312,0.0542,,
313,0.0546,,
314,0.0545,,
315,0.0561,,
316,0.0584,,
317,0.0604,,
318,0.0629,,
319,0.0662,,
320,0.0709,,
321,0.0754,,
322,0.0812,,
323,0.0865,,
324,0.0916,,
325,0.0982,,
326,0.1039,,
327,0.1084,,
328,0.115,,
329,0.1193,,
330,0.1241,,
331,0.1286,,
332,0.1336,,
333,0.1385,,
334,0.1438,,
335,0.1512,,
336,0.1593,,
337,0.1694,,
338,0.1784,,
339,0.1912,,
340,0.2001,,
341,0.2125,,
342,0.2203,,
343,0.2265,,
344,0.2284,,
345,0.2248,,
346,0.2165,,
347,0.2068,,
348,0.1936,,
349,0.1813,,
350,0.1695,,
351,0.1576,,
352,0.1503,,
353,0.1413,,
354,0.136,,
355,0.1317,,
356,0.1287,,
357,0.1265,,
358,0.125,,
359,0.1236,,
360,0.1234,,
361,0.1226,,
362,0.1223,,
363,0.122,,
364,0.1214,,
365,0.1199,,
366,0.12,,
367,0.1186,,
368,0.1179,,
369,0.1156,,
370,0.1148,,
371,0.1141,,
372,0.1121,,
373,0.1109,,
374,0.1087,,
375,0.1052,,
376,0.1029,,
377,0.1004,,
378,0.0975,,
379,0.0941,,
380,0.0904,,
381,0.0868,,
382,0.0824,,
383,0.0789,,
384,0.076,,
385,0.0714,,
386,0.0672,,
387,0.0644,,
388,0.0604,,
389,0.0571,,
390,0.0551,,
391,0.0525,,
392,0.0498,,
393,0.0464,,
394,0.0449,,
395,0.0424,,
396,0.0403,,
397,0.0386,,
398,0.036,,
399,0.0334,,
400,0.0313,,
401,0.029,,
402,0.0267,,
403,0.0245,,
404,0.0216,,
405,0.0198,,
406,0.0174,,
407,0.0156,,
408,0.0132,,
409,0.0119,,
410,0.01,,
411,0.0086,,
412,0.0074,,
413,0.0065,,
414,0.0057,,
415,0.0049,,
416,0.0043,,
417,0.0037,,
418,0.0035,,
419,0.0032,,
420,0.003,,
421,0.0028,,
422,0.0028,,
423,0.0028,,
424,0.0029,,
425,0.0029,,
426,0.003,,
427,0.0032,,
428,0.0032,,
429,0.0033,,
430,0.0037,,
431,0.0039,,
432,0.0038,,
433,0.0042,,
434,0.0046,,
435,0.0049,,
436,0.0051,,
437,0.0053,,
438,0.0058,,
439,0.006,,
440,0.0064,,
441,0.0067,,
442,0.0071,,
443,0.0075,,
444,0.008,,
445,0.0085,,
446,0.0089,,
447,0.0097,,
448,0.0101,,
449,0.0109,,
450,0.0115,,
451,0.0122,,
452,0.013,,
453,0.0139,,
454,0.0147,,
455,0.0157,,
456,0.0163,,
457,0.0175,,
458,0.0182,,
459,0.0198,,
460,0.0206,,
461,0.0222,,
462,0.0231,,
463,0.0246,,
464,0.0254,,
465,0.0275,,
466,0.0289,,
467,0.0299,,
468,0.031,,
469,0.0328,,
470,0.0341,,
471,0.0356,,
472,0.0377,,
473,0.0389,,
474,0.0405,,
475,0.0424,,
476,0.0444,,
477,0.0463,,
478,0.0492,,
479,0.0504,,
480,0.053,,
481,0.0556,,
482,0.0581,,
483,0.061,,
484,0.0633,,
485,0.0663,,
486,0.0694,,
487,0.0726,,
488,0.0762,,
489,0.0808,,
490,0.0841,,
491,0.0886,,
492,0.0928,,
493,0.0971,,
494,0.1007,,
495,0.1065,,
496,0.1115,,
497,0.117,,
498,0.1222,,
499,0.1267,,
500,0.1327,,
501,0.1372,,
502,0.1421,,
503,0.1481,,
504,0.1524,,
505,0.1586,,
506,0.1642,,
507,0.1688,,
508,0.175,,
509,0.1801,,
510,0.1866,,
511,0.1908,,
512,0.1981,,
513,0.2036,,
514,0.2089,,
515,0.2168,,
516,0.2247,,
517,0.2324,,
518,0.2392,,
519,0.248,,
520,0.257,,
521,0.2662,,
522,0.2754,,
523,0.2838,,
524,0.2957,,
525,0.3065,,
526,0.3204,,
527,0.3308,,
528,0.3455,,
529,0.3558,,
530,0.3726,,
531,0.3834,,
532,0.4003,,
533,0.4139,,
534,0.4289,,
535,0.4424,,
536,0.4568,,
537,0.4722,,
538,0.4847,,
539,0.496,,
540,0.507,,
541,0.5191,,
542,0.5262,,
543,0.5352,,
544,0.5462,,
545,0.5528,,
546,0.5555,,
547,0.5656,,
548,0.5695,,
549,0.5751,,
550,0.5784,0.0012,
551,0.583,0.0014,
552,0.5866,0.0015,
553,0.5879,0.0019,
554,0.5941,0.0023,
555,0.5994,0.0026,
556,0.6041,0.0033,
557,0.6094,0.0039,
558,0.6154,0.0045,
559,0.6225,0.0052,
560,0.6293,0.0063,
561,0.6394,0.0087,
562,0.6473,0.0157,
563,0.6545,0.0253,
564,0.6693,0.0291,
565,0.6807,0.0258,
566,0.6918,0.0201,
567,0.703,0.0193,
568,0.7201,0.0225,
569,0.733,0.0256,
570,0.7505,0.0298,
571,0.77,0.0345,
572,0.7918,0.0416,
573,0.8068,0.0479,
574,0.8215,0.0552,
575,0.8447,0.0654,
576,0.8588,0.0752,
577,0.8829,0.0894,
578,0.9037,0.1022,
579,0.9207,0.1189,
580,0.9414,0.1376,
581,0.9552,0.1595,
582,0.9673,0.1831,
583,0.9837,0.2111,
584,0.9925,0.2366,
585,0.9954,0.2654,
586,0.9964,0.2974,
587,1,0.3349,
588,0.9922,0.3687,
589,0.9835,0.4057,
590,0.9711,0.447,
591,0.9455,0.488,
592,0.925,0.5307,
593,0.9009,0.5715,
594,0.8668,0.6128,
595,0.8361,0.655,
596,0.799,0.6917,
597,0.7629,0.7327,
598,0.7237,0.7667,
599,0.6819,0.8078,
600,0.6389,0.8388,
601,0.6011,0.8688,
602,0.5572,0.8957,
603,0.5117,0.9197,
604,0.4703,0.9368,
605,0.4303,0.9605,
606,0.3928,0.9738,
607,0.3558,0.9799,
608,0.3193,0.9889,
609,0.2877,0.9956,
610,0.2586,1,
611,0.2338,0.9905,
612,0.2094,0.9909,
613,0.1834,0.9757,
614,0.1619,0.968,
615,0.1401,0.9553,
616,0.1215,0.9425,
617,0.1066,0.931,
618,0.0921,0.9031,
619,0.0798,0.8924,
620,0.0701,0.8709,
621,0.0611,0.8518,
622,0.0521,0.8305,
623,0.0455,0.8119,
624,0.0407,0.795,
625,0.0347,0.7723,
626,0.0311,0.7536,
627,0.0263,0.7389,
628,0.0229,0.7192,
629,0.0201,0.7064,
630,0.0172,0.6904,
631,0.015,0.6737,
632,0.0138,0.662,
633,0.0117,0.65,
634,0.0099,0.6335,
635,0.0086,0.6157,
636,0.0078,0.6053,
637,0.0067,0.5957,
638,0.0061,0.5824,
639,0.0051,0.5763,
640,0.0043,0.5621,
641,0.0036,0.554,
642,0.0035,0.5428,
643,0.0032,0.538,
644,0.0028,0.5349,
645,0.0024,0.5214,
646,0.002,0.514,
647,0.0018,0.5032,
648,0.0018,0.4991,
649,0.0015,0.4887,
650,0.0012,0.4834,
651,,0.4766,
652,,0.4707,
653,,0.4618,
654,,0.4554,
655,,0.4517,
656,,0.4402,
657,,0.4328,
658,,0.4226,
659,,0.416,
660,,0.4128,
661,,0.4062,
662,,0.4,
663,,0.3916,
664,,0.3858,
665,,0.3782,
666,,0.3705,
667,,0.3646,
668,,0.359,
669,,0.354,
670,,0.3502,
671,,0.3396,
672,,0.3364,
673,,0.3293,
674,,0.3201,
675,,0.314,
676,,0.3091,
677,,0.3047,
678,,0.2968,
679,,0.2864,
680,,0.2786,
681,,0.2757,
682,,0.2675,
683,,0.2602,
684,,0.252,
685,,0.2466,
