wavelength,mNeptune2.5 ex,mNeptune2.5 em
230,0.0011,
231,0.0004,
232,0.0007,
233,0.0004,
234,0.0004,
235,0.0006,
236,0.0006,
237,0.0006,
238,0.0004,
239,0.0006,
240,0.0007,
241,0.0004,
242,0.0004,
243,0.0002,
244,0.0004,
245,0.0004,
246,0.0004,
247,0.0002,
248,0.0004,
249,0.0004,
250,0.0002,
251,0.0006,
252,0.0005,
253,0.0005,
254,0.0007,
255,0.0006,
256,0.0007,
257,0.0004,
258,0.0008,
259,0.0008,
260,0.0007,
261,0.0005,
262,0.0006,
263,0.0006,
264,0.0004,
265,0.0008,
266,0.001,
267,0.0006,
268,0.0011,
269,0.001,
270,0.0009,
271,0.001,
272,0.0005,
273,0.0006,
274,0.0009,
275,0.0009,
276,0.0009,
277,0.0011,
278,0.0031,
279,0.0044,
280,0.0044,
281,0.0084,
282,0.0081,
283,0.009,
284,0.011,
285,0.0115,
286,0.0131,
287,0.0149,
288,0.0157,
289,0.0169,
290,0.0183,
291,0.0206,
292,0.0216,
293,0.0217,
294,0.0233,
295,0.0235,
296,0.0246,
297,0.0248,
298,0.0238,
299,0.0239,
300,0.0255,
301,0.0263,
302,0.0238,
303,0.0259,
304,0.0244,
305,0.0236,
306,0.0225,
307,0.022,
308,0.021,
309,0.02,
310,0.019,
311,0.0183,
312,0.0177,
313,0.019,
314,0.0201,
315,0.0202,
316,0.0218,
317,0.0218,
318,0.0239,
319,0.0252,
320,0.0264,
321,0.0295,
322,0.0306,
323,0.0323,
324,0.0342,
325,0.035,
326,0.0368,
327,0.0388,
328,0.0418,
329,0.0409,
330,0.0428,
331,0.0473,
332,0.0491,
333,0.053,
334,0.0534,
335,0.0574,
336,0.0602,
337,0.0614,
338,0.0636,
339,0.0702,
340,0.0742,
341,0.0781,
342,0.0794,
343,0.08,
344,0.0817,
345,0.086,
346,0.0865,
347,0.0907,
348,0.09,
349,0.0891,
350,0.093,
351,0.0924,
352,0.0958,
353,0.0956,
354,0.0956,
355,0.096,
356,0.0945,
357,0.0959,
358,0.0913,
359,0.0844,
360,0.0826,
361,0.0789,
362,0.0753,
363,0.075,
364,0.0747,
365,0.0706,
366,0.0718,
367,0.0682,
368,0.0709,
369,0.0729,
370,0.0732,
371,0.0736,
372,0.0745,
373,0.0747,
374,0.0738,
375,0.0737,
376,0.0698,
377,0.0696,
378,0.0692,
379,0.0666,
380,0.0631,
381,0.0599,
382,0.0594,
383,0.0564,
384,0.0551,
385,0.054,
386,0.051,
387,0.0509,
388,0.0497,
389,0.0468,
390,0.0438,
391,0.0425,
392,0.0409,
393,0.0399,
394,0.0383,
395,0.0375,
396,0.0359,
397,0.0355,
398,0.0352,
399,0.0335,
400,0.0323,
401,0.0333,
402,0.0318,
403,0.0299,
404,0.0291,
405,0.0279,
406,0.0275,
407,0.0257,
408,0.0242,
409,0.023,
410,0.0231,
411,0.0224,
412,0.0225,
413,0.021,
414,0.0216,
415,0.0206,
416,0.0202,
417,0.0207,
418,0.0204,
419,0.0202,
420,0.0202,
421,0.0195,
422,0.0197,
423,0.0197,
424,0.0191,
425,0.0191,
426,0.0191,
427,0.0197,
428,0.0202,
429,0.0205,
430,0.021,
431,0.0218,
432,0.0221,
433,0.0219,
434,0.023,
435,0.0232,
436,0.0236,
437,0.0244,
438,0.0246,
439,0.0246,
440,0.025,
441,0.0257,
442,0.027,
443,0.0266,
444,0.0262,
445,0.0265,
446,0.0266,
447,0.0273,
448,0.0278,
449,0.0281,
450,0.0281,
