wavelength,mEmerald ex,mEmerald em,mTagBFP2 ex,mTagBFP2 em,mCherry ex,mCherry em,mCherry 2p,mNeptune2.5 ex,mNeptune2.5 em
300,0.0962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
301,0.0872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
302,0.0801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
303,0.0739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
304,0.0675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
305,0.0612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
306,0.0579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
307,0.0541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
308,0.0528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
309,0.049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
310,0.0487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
311,0.0474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
312,0.0459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
313,0.0446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
314,0.0439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
315,0.0446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
316,0.0442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
317,0.042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
318,0.0412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
319,0.0399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
320,0.0391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
321,0.0378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
322,0.0353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
323,0.0346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
